REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
COSTA,MAGDALENA,HFC,CONTACT,SAC,INDIRECTA,3,19,TV+BA,Duo,1,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1004369760
COSTA,MAGDALENA,HFC,CONTACT,SAC,INDIRECTA,3,19,TV+BA,Duo,1,No funciona línea telefónica,0,0,0,0,0,0,0,0,0,1004369760
NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,1,1,TV,Individual,1,No navega,0,0,0,0,0,0,0,0,0,1004371304
COSTA,MAGDALENA,HFC,CONTACT,IN BOUND,INDIRECTA,3,7,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1004382867
COSTA,MAGDALENA,HFC,CONTACT,IN BOUND,INDIRECTA,3,7,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1004382867
COSTA,MAGDALENA,HFC,CONTACT,IN BOUND,INDIRECTA,3,7,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1004382867
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,SE,,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1004490958
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,SE,,TO+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1004490958
EJE CAFETERO,RISARALDA,HFC,FVD,FVD,INDIRECTA,3,,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,1,1004686283
EJE CAFETERO,RISARALDA,REDCO,FVD,DEALERS,DIRECTA,SE,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1004734657
EJE CAFETERO,RISARALDA,REDCO,FVD,DEALERS,DIRECTA,SE,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1004734657
EJE CAFETERO,RISARALDA,REDCO,FVD,DEALERS,DIRECTA,SE,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1004734657
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,SE,,BA,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1004735379
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,SE,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,0,1004775655
ORIENTE,BOYACA,GPON,TIENDAS,TIENDAS,INDIRECTA,SE,0,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,1004944928
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,4,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1004965115
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,4,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1004965115
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,4,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1004965115
CENTRO,CUNDINAMARCA,HFC,CONTACT,SAC,INDIRECTA,2,2,TO,Individual,NULL,NULL,0,0,0,0,1,0,0,1,1,1005083365
EJE CAFETERO,RISARALDA,HFC,FVD,FVD,INDIRECTA,SE,,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,10050964
EJE CAFETERO,RISARALDA,HFC,TIENDAS,TIENDAS,INDIRECTA,SE,,TV,Individual,NULL,NULL,0,0,0,0,0,0,0,0,0,10051418
ORIENTE,SANTANDER,HFC,TIENDAS,TIENDAS,INDIRECTA,3,6,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1005148919
ORIENTE,SANTANDER,HFC,TIENDAS,TIENDAS,INDIRECTA,3,6,TV+BA,Duo,NULL,NULL,0,0,0,0,0,0,0,0,0,1005148919
CENTRO,CUNDINAMARCA,HFC,FVD,FVD,INDIRECTA,2,,TO+TV+BA,Trio,NULL,NULL,0,0,0,0,0,0,0,0,1,1012393236
